1.500000000000000000e+02,3.109496967679168620e+02,1.323669219338900348e+03,-1.792595630455551614e+01,-1.311893185596302658e+01
1.600000000000000000e+02,-1.027462751564564343e+02,1.626144358039096005e+03,-2.301481742202324199e+01,-1.475643774314629120e+01
1.700000000000000000e+02,4.340073581392055075e+02,7.134991648606051058e+02,-1.364832310939681470e+01,-8.100602395608991202e+00
1.800000000000000000e+02,4.029686223951375723e+02,4.256034302968058114e+02,-1.365542961044789472e+01,-5.634588798935447507e+00
1.900000000000000000e+02,1.919843683695180232e+02,6.894881396537939509e+02,-1.638966909121227999e+01,-1.351795030147109244e+01
2.000000000000000000e+02,8.235371243639402792e+02,4.357349684454364365e+02,-2.054894550021051458e+01,-3.773049797528066573e+00
2.100000000000000000e+02,1.945760034851106752e+02,6.628415213144896825e+02,-1.883873144014389567e+01,-1.329766631943059529e+01
2.200000000000000000e+02,1.239548818651582565e+02,5.367666364276382183e+02,-1.618392166608479243e+01,-1.547214091362446098e+01
2.300000000000000000e+02,1.980126915779751187e+02,4.609450971404760935e+02,-1.437060175485651925e+01,-1.233339783807152479e+01
2.400000000000000000e+02,9.497139768083798117e+01,5.549675176308784330e+02,-1.885295097439336232e+01,-1.620386984188135671e+01
2.500000000000000000e+02,1.684115495620836782e+02,4.903110587730474208e+02,-1.773073405402296743e+01,-1.332560826191014236e+01
2.600000000000000000e+02,-3.909155558459516300e+01,1.009681818620985609e+03,-2.547771944076235329e+01,-1.070618322481213625e+01
2.700000000000000000e+02,5.596588655341625440e+01,5.800039265201808121e+02,-2.193039907091376151e+01,-1.472747218862863683e+01
2.800000000000000000e+02,2.721257825351179349e+01,5.488242336801085912e+02,-2.306258433771458627e+01,-1.373073308798946535e+01
2.900000000000000000e+02,6.531016417959652642e+01,4.443453262111938784e+02,-2.037710414867471087e+01,-1.449384324547164660e+01
3.000000000000000000e+02,5.655802638304530916e+01,5.175310283277539156e+02,-2.290701093799376054e+01,-1.286331814681744135e+01
3.100000000000000000e+02,2.520122764546692551e+01,5.500463234309637528e+02,-2.416286243117857069e+01,-1.201014423473148973e+01
3.200000000000000000e+02,7.633050676231451348e+01,4.792286940458515687e+02,-2.330780957517221452e+01,-1.171138001909586279e+01
3.300000000000000000e+02,-2.368934355988716689e+01,5.834061824762927699e+02,-2.453796737918872140e+01,-1.160560624559345655e+01
3.400000000000000000e+02,3.767414392521982958e+00,3.631699045886118711e+02,-2.129196378527510092e+01,-1.456731980213059074e+01
3.500000000000000000e+02,4.474236290145339012e+01,4.455711081930488717e+02,-2.328993241990423257e+01,-1.138309923711588034e+01
3.600000000000000000e+02,6.748178673324889587e+01,4.101145150458308422e+02,-2.226895834481364034e+01,-1.116964382521714860e+01
3.700000000000000000e+02,1.205783445353139172e+01,4.858368890773954263e+02,-2.450111652351929692e+01,-9.620644975908133389e+00
3.800000000000000000e+02,-1.305909839184245413e+01,5.460929858312147189e+02,-2.439779671890170576e+01,-1.128403419510008554e+01
3.900000000000000000e+02,1.589616423247063892e+02,4.752514089992191089e+02,-2.454843053773406680e+01,-7.297712165066276846e+00
4.000000000000000000e+02,-2.828454865168131960e+01,7.024588422754289923e+02,-2.389951243276813031e+01,-1.099310851312718817e+01
4.100000000000000000e+02,5.918578198076055230e+01,4.677889782693682150e+02,-2.369393669844908601e+01,-7.567148153315446102e+00
4.200000000000000000e+02,3.867124444194481470e+01,5.259230698289590009e+02,-2.400076347535546262e+01,-7.819908256451132189e+00
4.300000000000000000e+02,8.046776112071139408e+00,5.663677338700963446e+02,-2.427857747263708532e+01,-7.721649210125307583e+00
4.400000000000000000e+02,2.997728463914024033e+01,5.417993570946375712e+02,-2.471504667510965803e+01,-6.299784273300816473e+00
4.500000000000000000e+02,3.619385159665144158e+01,5.967212090912436224e+02,-2.466029113186869282e+01,-6.593994456744362687e+00
4.600000000000000000e+02,-1.942601651140380170e+02,6.166508935675592511e+02,-2.389137234839228086e+01,-6.603510354047980258e+00
4.700000000000000000e+02,-2.184278869613382597e+02,4.954206862392009043e+02,-2.387542814628181631e+01,-4.845775859899208449e+00
4.800000000000000000e+02,-2.964336748592021422e+02,4.777100599257803424e+02,-2.404908859479214556e+01,-4.326282562898235540e+00
4.900000000000000000e+02,-5.566574596116327029e+02,6.503154532567781416e+02,-2.105472517997812432e+01,-5.252446761356338811e+00
5.000000000000000000e+02,-5.977034471486703069e+02,4.470121662401264189e+02,-2.032070111073261742e+01,-2.839474268297263571e+00
5.100000000000000000e+02,-6.759780277210246595e+02,5.582141531422211074e+02,-1.965294360510626603e+01,-4.051296534629718060e+00
5.200000000000000000e+02,-7.780949512457591482e+02,7.434816893748309212e+02,-1.848073247775475636e+01,-4.951977552832084406e+00
5.300000000000000000e+02,-7.888284579173172233e+02,8.175634186235593006e+02,-1.796194082603646436e+01,-5.311920859885847612e+00
5.400000000000000000e+02,-8.029234740259335013e+02,8.085722770659829166e+02,-1.868662091950790227e+01,-4.182408815966918603e+00
5.500000000000000000e+02,-5.930786098034142242e+02,1.000416861857986078e+03,-2.038006455063109001e+01,-6.541427239270929839e+00
5.600000000000000000e+02,-5.113000070401847097e+02,1.109259807580777988e+03,-2.093428266304837493e+01,-8.262553060388860615e+00
5.700000000000000000e+02,-4.085345562697291371e+02,1.041240465820106692e+03,-2.229122004095847487e+01,-8.497272133433158459e+00
5.800000000000000000e+02,-2.895634564216713329e+02,9.954590485441688088e+02,-2.401249595648039659e+01,-8.726048433915849500e+00
5.900000000000000000e+02,-2.409945681398848478e+02,9.908153905292136869e+02,-2.471220027595461488e+01,-9.381916601534715738e+00
6.000000000000000000e+02,-1.615368623125328043e+02,8.778970891624599062e+02,2.586332447917672539e+01,-9.141669989279794351e+00
6.100000000000000000e+02,1.167693177298183258e+02,9.097097113203528806e+02,2.264481500181258511e+01,-1.102042356849413984e+01
6.200000000000000000e+02,1.228272284356848161e+02,8.920772923879586642e+02,2.265289735157702466e+01,-1.112980745118636250e+01
6.300000000000000000e+02,9.158778881224982626e+01,9.413733777979605293e+02,2.219860265378907016e+01,-1.326512566407594740e+01
6.400000000000000000e+02,1.209376411903916164e+02,9.737050566178220379e+02,2.233699725370268396e+01,-1.377930757586309518e+01
6.500000000000000000e+02,9.703203760897855545e+01,9.894089449828362604e+02,2.191672508365008198e+01,-1.521206046167491621e+01
6.600000000000000000e+02,1.020703012642666891e+02,1.007732119304329672e+03,2.155549425606102076e+01,-1.647512625865889291e+01
6.700000000000000000e+02,1.082632432548313517e+02,1.023722401135208770e+03,2.102054504090597575e+01,-1.770422636181807263e+01
6.800000000000000000e+02,1.281952089904976617e+02,1.049228272443048354e+03,2.037208890627011115e+01,-1.871256010020756477e+01
6.900000000000000000e+02,3.170874073825524988e+02,8.061315743343333224e+02,1.871940630751052836e+01,-1.787318837070663236e+01
7.000000000000000000e+02,1.819841123791134407e+02,1.063423023374834202e+03,1.808374474420877931e+01,-2.062698069737580298e+01
7.100000000000000000e+02,1.931049557251441229e+02,1.031712252214571663e+03,1.714970641057728784e+01,-2.136313492016236282e+01
7.200000000000000000e+02,2.206982060977195204e+02,9.376189229024931819e+02,1.619354806400057356e+01,-2.233392163819755893e+01
7.300000000000000000e+02,2.069596115920510897e+02,9.688541599258297765e+02,1.463556007295614414e+01,-2.260404130760543850e+01
